,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,0,9.3,0,0.016047301,0,249.8092,0,1999,0,0,0,3735.138
1,1,5.92,1,0.019278216,1,48.2692,1,2009,0,1,1,443.4228
2,2,17.5,0,0.016760075,2,141.618,0,1999,0,0,0,2097.27
3,3,19.2,1,0.0,3,182.095,2,1998,1,1,2,732.38
4,4,8.93,0,0.0,4,53.8614,3,1987,2,1,0,994.7052
5,5,10.395,1,0.0,5,51.4008,1,2009,0,1,1,556.6088
6,6,13.65,1,0.012741088999999999,6,57.6588,3,1987,2,1,0,343.5528
7,7,,0,0.127469857,6,107.7622,4,1985,0,1,3,4022.7636
8,8,16.2,1,0.016687114,7,96.9726,5,2002,1,2,0,1076.5986
9,9,19.2,1,0.09444959,7,187.8214,6,2007,1,2,0,4710.535
