,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,0,9.3,0,0.016047301,0,249.8092,0,14,0,0,0,3735.138
1,1,5.92,1,0.019278216,1,48.2692,1,4,0,1,1,443.4228
2,2,17.5,0,0.016760075,0,141.618,0,14,0,0,0,2097.27
3,3,19.2,1,0.07048184085069421,0,182.095,2,15,0,1,2,732.38
4,4,8.93,2,0.07048184085069421,2,53.8614,3,26,1,1,0,994.7052
5,5,10.395,1,0.07048184085069421,0,51.4008,1,4,0,1,1,556.6088
6,6,13.65,1,0.012741088999999999,0,57.6588,3,26,1,1,0,343.5528
7,7,12.857645184135976,0,0.127469857,0,107.7622,4,28,0,1,3,4022.7636
8,8,16.2,1,0.016687114,0,96.9726,5,11,0,2,0,1076.5986
9,9,19.2,1,0.09444959,0,187.8214,6,6,0,2,0,4710.535
10,10,11.8,0,0.07048184085069421,0,45.5402,0,14,0,0,0,1516.0266
11,11,18.5,1,0.045463773,0,144.1102,7,16,2,0,0,2187.153
12,12,15.1,1,0.1000135,0,145.4786,0,14,0,0,0,1589.2646
13,13,17.6,1,0.047257328,0,119.6782,7,16,2,0,0,2145.2076
14,14,16.35,0,0.06802430000000001,0,196.4426,3,26,1,1,0,1977.4260000000002
15,15,9.0,1,0.06908896099999999,0,56.3614,7,16,2,0,0,1547.3192
16,16,11.8,2,0.008596051,2,115.3492,1,4,0,1,1,1621.8888
17,15,9.0,1,0.06919637599999999,0,54.3614,0,14,0,0,0,718.3982
18,17,12.857645184135976,0,0.034237682,1,113.2834,4,28,0,1,3,2303.6679999999997
19,18,13.35,0,0.10249212,0,230.5352,8,9,2,2,0,2748.4224
20,19,18.85,1,0.138190277,0,250.8724,3,26,1,1,0,3775.086
21,20,12.857645184135976,1,0.035399923,0,144.5444,4,28,0,1,3,4064.0432
22,21,14.6,2,0.025698133999999997,2,196.5084,8,9,2,2,0,1587.2672
23,22,12.857645184135976,0,0.057556998,0,107.6938,9,28,2,0,2,214.3876
24,23,13.85,1,0.025896485,0,165.021,7,16,2,0,0,4078.025
25,24,13.0,2,0.099887103,2,45.906000000000006,6,6,0,2,0,838.908
26,25,7.645,1,0.06669343700000001,0,42.3112,8,9,2,2,0,1065.28
27,26,11.65,0,0.019356131999999998,1,39.1164,3,26,1,1,0,308.9312
28,27,5.925,1,0.161466534,0,45.5086,2,15,0,1,2,178.4344
29,28,12.857645184135976,1,0.072221801,0,43.6454,9,28,2,0,2,125.8362
30,29,19.25,0,0.17034855100000001,0,55.7956,2,15,0,1,2,163.7868
31,30,18.6,2,0.080829372,2,96.4436,1,4,0,1,1,2741.7644
32,31,18.7,0,0.07048184085069421,0,256.6672,1,4,0,1,1,3068.0064
33,32,17.85,0,0.07048184085069421,0,93.1436,5,11,0,2,0,2174.5028
34,33,17.5,0,0.097904029,1,174.8738,7,16,2,0,0,2085.2856
35,34,10.0,2,0.08929113699999999,2,146.7102,0,14,0,0,0,3791.0652
36,35,12.857645184135976,1,0.059511812000000004,0,128.0678,4,28,0,1,3,2797.6916
37,36,8.85,1,0.113123893,1,122.5388,1,4,0,1,1,1609.9044
38,37,12.857645184135976,1,0.12311145300000001,0,36.9874,4,28,0,1,3,388.1614
39,38,12.857645184135976,0,0.026480953999999998,0,87.6198,4,28,0,1,3,2180.495
40,18,13.35,0,0.102511504,0,230.6352,7,16,2,0,0,3435.528
41,39,9.8,0,0.02681843,0,126.00200000000001,3,26,1,1,0,2150.534
42,40,13.6,0,0.117818348,0,192.9136,0,14,0,0,0,2527.3768
43,41,21.35,0,0.06910283099999999,0,259.9278,1,4,0,1,1,6768.5228
44,42,12.15,1,0.042277867000000004,0,126.5046,3,26,1,1,0,373.5138
45,43,6.42,0,0.08949892599999999,0,178.1002,2,15,0,1,2,358.2004
46,44,19.6,2,0.07048184085069421,2,153.3024,5,11,0,2,0,2428.8384
47,45,10.0,0,0.025879577,0,265.2226,5,11,0,2,0,5815.0972
48,46,15.85,1,0.121632721,0,60.622,7,16,2,0,0,2576.646
49,47,12.857645184135976,1,0.25539489600000004,0,196.8794,9,28,2,0,2,780.3176
50,48,7.39,2,0.067779712,2,143.8812,7,16,2,0,0,3134.5864
51,49,10.195,0,0.159803853,0,141.5154,3,26,1,1,0,850.8924
52,50,9.895,1,0.028696932,0,117.0492,3,26,1,1,0,810.9444
53,51,10.895,0,0.065041581,0,196.3794,6,6,0,2,0,3121.2704
54,52,12.15,2,0.028760012999999997,2,151.4708,6,6,0,2,0,4815.0656
55,53,7.905,0,0.010053105,0,249.0408,1,4,0,1,1,6258.52
56,54,9.195,2,0.048157338,2,106.1622,5,11,0,2,0,2117.244
57,55,8.365,0,0.071958197,1,38.0506,0,14,0,0,0,796.9626
58,56,15.1,0,0.17348130399999998,0,194.511,7,16,2,0,0,4910.275
59,57,12.857645184135976,0,0.061082177,0,180.0344,9,28,2,0,2,892.172
60,58,10.0,0,0.07048184085069421,0,246.9144,1,4,0,1,1,3185.1872
61,59,7.97,1,0.040071131,0,87.3514,5,11,0,2,0,1062.6168
62,60,12.857645184135976,0,0.012090074,0,38.2848,4,28,0,1,3,484.7024
63,61,12.857645184135976,1,0.15028599,0,51.0692,9,28,2,0,2,147.8076
64,62,12.857645184135976,0,0.026015518999999997,0,255.8356,4,28,0,1,3,2543.356
65,63,17.7,0,0.195068226,0,185.4266,2,15,0,1,2,184.4266
66,64,19.35,0,0.033082215,0,172.5738,8,9,2,2,0,4865.6664
67,65,13.65,1,0.078946455,0,186.024,5,11,0,2,0,1118.5439999999999
68,66,17.6,0,0.041700756,1,164.8526,5,11,0,2,0,2302.3364
69,67,8.645,2,0.14342264300000002,2,95.84100000000001,7,16,2,0,0,2027.361
70,68,15.6,1,0.10529607199999999,0,170.1764,7,16,2,0,0,3435.528
71,46,15.85,1,0.121531501,0,59.222,3,26,1,1,0,599.22
72,69,18.25,0,0.07048184085069421,0,164.7526,5,11,0,2,0,4604.6728
73,70,7.855,0,0.011324862,0,189.6188,6,6,0,2,0,2285.0256
74,71,7.825,2,0.186357148,2,254.3698,0,14,0,0,0,5580.7356
75,72,8.39,1,0.024205661,0,114.0176,7,16,2,0,0,2290.3520000000003
76,73,12.85,0,0.033230816,0,172.3422,0,14,0,0,0,1207.0954
77,74,12.857645184135976,0,0.113720344,0,89.9804,9,28,2,0,2,643.1628
78,75,19.0,0,0.11255650699999999,0,104.9622,6,6,0,2,0,1587.933
79,76,5.905,0,0.07048184085069421,0,222.5456,5,11,0,2,0,5305.0944
80,77,7.76,0,0.05935224099999999,0,101.87,7,16,2,0,0,1697.79
81,78,11.8,1,0.014087057,0,180.3344,7,16,2,0,0,1427.4752
82,79,16.75,0,0.045230944,0,187.9556,1,4,0,1,1,4693.89
83,80,12.857645184135976,2,0.293417759,2,194.6136,9,28,2,0,2,583.2408
84,81,12.857645184135976,1,0.031382044,0,171.3764,4,28,0,1,3,3091.9752
85,82,15.5,1,0.12639886,0,177.0028,6,6,0,2,0,2479.4392
86,83,6.055,0,0.025403897999999998,0,160.99200000000002,8,9,2,2,0,2716.4640000000004
87,84,12.857645184135976,1,0.039057677,0,155.963,4,28,0,1,3,3285.723
88,85,6.305,1,0.123115764,0,95.6436,7,16,2,0,0,661.8052
89,86,20.85,0,0.039624006,0,117.2808,0,14,0,0,0,1523.3504
90,87,20.75,0,0.040421193,0,122.17299999999999,2,15,0,1,2,369.519
91,88,8.895,0,0.10527411099999999,1,39.9138,0,14,0,0,0,690.4346
92,89,19.6,0,0.033970195,1,55.1614,5,11,0,2,0,1381.535
93,90,19.7,0,0.053212652,0,57.893,8,9,2,2,0,622.523
94,91,9.8,2,0.024378706,2,114.5492,8,9,2,2,0,1274.3412
95,92,12.857645184135976,0,0.009714595,0,120.0414,9,28,2,0,2,487.3656
96,93,12.15,0,0.131383762,0,246.046,0,14,0,0,0,1231.73
97,94,8.75,1,0.07461309,0,187.4556,8,9,2,2,0,3755.112
98,52,12.857645184135976,2,0.028459761,2,149.9708,4,28,0,1,3,4363.6532
99,94,8.75,1,0.07462720099999999,0,187.8556,7,16,2,0,0,1314.2892
100,95,13.3,0,0.063695084,0,151.0708,5,11,0,2,0,1805.6496
101,96,12.857645184135976,1,0.045797829000000005,0,178.5344,4,28,0,1,3,2854.9504
102,97,8.31,1,0.11585722300000001,0,179.1028,0,14,0,0,0,3896.2616
103,98,16.75,1,0.024832806000000002,1,38.7822,3,26,1,1,0,667.7974
104,99,19.75,0,0.034027909,0,212.0902,1,4,0,1,1,3185.853
105,100,17.1,1,0.046769599999999995,0,141.1838,3,26,1,1,0,2247.7408
