,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1717.7517290130795
1,FDW14,OUT017,1717.7517290130795
2,NCN55,OUT010,3874.1350621359225
3,FDQ58,OUT017,2785.57758642993
4,FDY38,OUT027,553.6929526785715
5,FDH56,OUT046,1717.7517290130795
6,FDL48,OUT018,1758.2753692307695
7,FDC48,OUT027,252.24345153846156
8,FDN33,OUT045,1717.7517290130795
9,FDA36,OUT017,2785.57758642993
10,FDT44,OUT017,1717.7517290130795
11,FDQ56,OUT045,1717.7517290130795
12,NCC54,OUT019,3874.1350621359225
13,FDU11,OUT049,1717.7517290130795
14,DRL59,OUT013,760.1248005134787
15,FDM24,OUT049,2785.57758642993
16,FDI57,OUT045,2785.57758642993
17,DRC12,OUT018,5908.442360000001
18,NCM42,OUT027,252.24345153846156
19,FDA46,OUT010,2785.57758642993
20,FDA31,OUT013,2785.57758642993
21,NCJ31,OUT035,3874.1350621359225
22,FDG52,OUT046,760.1248005134787
23,NCL19,OUT019,1717.7517290130795
24,FDS10,OUT035,2785.57758642993
25,FDX22,OUT010,3874.1350621359225
26,NCF19,OUT035,760.1248005134787
27,NCE06,OUT046,2785.57758642993
28,DRC27,OUT046,3874.1350621359225
29,FDE21,OUT035,1717.7517290130795
30,NCR42,OUT019,760.1248005134787
31,FDX51,OUT018,5908.442360000001
32,NCR06,OUT018,964.5592555555558
33,FDU31,OUT027,553.6929526785715
34,FDU59,OUT017,2785.57758642993
35,FDR03,OUT027,553.6929526785715
36,FDS49,OUT027,252.24345153846156
37,FDD48,OUT010,1717.7517290130795
38,NCF18,OUT017,2785.57758642993
39,NCD43,OUT027,252.24345153846156
40,NCD54,OUT018,3493.6062461538463
41,FDY19,OUT010,1717.7517290130795
42,NCY54,OUT017,2785.57758642993
43,NCL19,OUT018,4011.9429512605043
44,FDP23,OUT010,3874.1350621359225
45,FDC26,OUT013,1717.7517290130795
46,FDR14,OUT010,760.1248005134787
47,NCS41,OUT035,2785.57758642993
48,FDF41,OUT035,3874.1350621359225
49,FDU34,OUT046,1717.7517290130795
50,DRH11,OUT046,760.1248005134787
51,FDM03,OUT013,1717.7517290130795
52,FDS31,OUT017,2785.57758642993
53,FDJ20,OUT017,1717.7517290130795
54,FDV44,OUT027,553.6929526785715
55,FDG02,OUT049,2785.57758642993
56,FDA09,OUT013,2785.57758642993
57,FDT04,OUT013,760.1248005134787
58,FDL58,OUT019,3874.1350621359225
59,FDE52,OUT045,1717.7517290130795
60,FDW12,OUT035,2785.57758642993
61,FDL51,OUT017,3874.1350621359225
62,NCY42,OUT027,252.24345153846156
63,FDR07,OUT017,1717.7517290130795
64,FDN40,OUT045,2785.57758642993
65,FDB35,OUT027,252.24345153846156
66,FDA22,OUT017,2785.57758642993
67,NCL06,OUT046,3874.1350621359225
68,FDI35,OUT013,2785.57758642993
69,NCW42,OUT045,3874.1350621359225
70,NCX06,OUT049,2785.57758642993
71,FDC37,OUT027,252.24345153846156
72,FDZ14,OUT018,3493.6062461538463
73,DRG49,OUT049,3874.1350621359225
74,NCG06,OUT045,3874.1350621359225
75,DRC36,OUT045,2785.57758642993
76,FDV21,OUT019,1717.7517290130795
77,FDB53,OUT046,2785.57758642993
78,DRP47,OUT019,3874.1350621359225
79,FDA14,OUT013,2785.57758642993
80,DRC24,OUT035,2785.57758642993
81,FDW21,OUT018,2633.810205464481
82,NCH29,OUT046,1717.7517290130795
83,FDU58,OUT013,2785.57758642993
84,FDY27,OUT017,2785.57758642993
85,FDV56,OUT035,1717.7517290130795
86,FDT59,OUT046,3874.1350621359225
87,FDB23,OUT046,3874.1350621359225
88,FDR49,OUT045,760.1248005134787
89,FDB03,OUT010,3874.1350621359225
90,FDN39,OUT045,2785.57758642993
91,FDX02,OUT027,553.6929526785715
92,FDQ16,OUT027,252.24345153846156
93,FDU35,OUT018,2633.810205464481
94,NCT29,OUT013,1717.7517290130795
95,FDZ27,OUT046,760.1248005134787
96,FDN57,OUT017,1717.7517290130795
97,FDA03,OUT018,4011.9429512605043
98,FDZ36,OUT045,2785.57758642993
99,NCU05,OUT013,1717.7517290130795
100,FDT39,OUT018,4011.9429512605043
101,FDK60,OUT017,1717.7517290130795
102,FDZ25,OUT017,2785.57758642993
103,FDG12,OUT046,1717.7517290130795
104,DRB01,OUT019,2785.57758642993
105,NCC43,OUT027,553.6929526785715
106,FDX13,OUT019,3874.1350621359225
107,FDM22,OUT049,760.1248005134787
108,FDJ03,OUT027,122.91127172413792
109,FDU14,OUT018,5908.442360000001
110,FDB33,OUT010,2785.57758642993
111,FDP27,OUT046,2785.57758642993
112,FDO38,OUT010,1717.7517290130795
113,FDE28,OUT027,553.6929526785715
114,FDO27,OUT035,1717.7517290130795
115,DRL23,OUT027,252.24345153846156
116,FDS28,OUT046,760.1248005134787
117,FDX24,OUT013,1717.7517290130795
118,FDZ02,OUT035,1717.7517290130795
119,FDL46,OUT045,1717.7517290130795
120,FDS60,OUT027,370.4193823834197
121,NCO06,OUT017,760.1248005134787
